Day,Price
1,2.9181
2,2.9422
3,2.975
4,3.004
5,3.0167
6,2.9876
7,3.0188
8,3.0322
9,3.0138
10,3.0273
11,3.0362
12,3.0367
13,3.0243
14,3.0496
15,3.0387
16,3.0107
17,3.0097
18,3.0208
19,2.9978
20,2.9788
21,2.9609
22,2.9671
23,2.9524
24,2.9478
25,2.9044
26,2.9051
27,2.9295
28,2.9471
29,2.9239
30,2.9287
31,2.9228
32,2.9441
33,2.9517
34,2.9639
35,2.9606
36,2.9658
37,2.9449
38,2.9358
39,2.9386
40,2.9295
41,2.9293
42,2.9612
43,2.9451
44,2.9372
45,2.9215
46,2.9147
47,2.9201
48,2.9201
49,2.9081
50,2.8875
51,2.8734
52,2.8796
53,2.8852
54,2.9084
55,2.8558
56,2.8554
57,2.8695
58,2.8723
59,2.8693
60,2.8789
61,2.8705
62,2.8733
63,2.8695
64,2.8334
65,2.8249
66,2.8197
67,2.8189
68,2.8277
69,2.8412
70,2.8428
71,2.8569
72,2.8338
73,2.827
74,2.8482
75,2.8591
76,2.8545
77,2.8519
78,2.8329
79,2.8276
80,2.821
81,2.8287
82,2.8457
83,2.8345
84,2.8175
85,2.815
86,2.8014
87,2.7928
88,2.8065
89,2.859
90,2.9201
91,2.9197
92,2.9229
93,2.938
94,2.9623
95,2.9489
96,2.9587
97,2.9711
98,2.9645
99,2.9777
100,2.9768
101,2.9826
102,2.9821
103,2.9426
104,2.9349
105,2.9399
106,2.956
107,2.9515
108,2.9489
109,2.9393
110,2.9462
111,2.908
112,2.8978
113,2.8894
114,2.8941
115,2.91
116,2.9219
117,2.9304
118,2.9269
119,2.9296
120,2.93
121,2.8984
122,2.8962
123,2.9055
124,2.8799
125,2.9266
126,2.9365
127,2.913
128,2.8936
129,2.8848
130,2.8846
131,2.8846
132,2.9214
133,2.8981
134,2.8885
135,2.8947
136,2.8913
137,2.8834
138,2.9485
139,2.9766
140,3.0281
141,3.0727
142,3.0573
143,3.0317
144,3.0353
145,3.0377
146,3.0167
147,3.0125
148,2.9797
149,2.9926
150,3.0075
151,3.0213
152,2.9996
153,2.9846
154,2.9781
155,2.9553
156,2.9621
157,2.9558
158,2.951
159,2.9297
160,2.9339
161,2.923
162,2.9355
163,2.9444
164,2.9359
165,2.9533
166,2.939
167,2.9337
168,2.9545
169,2.9544
170,2.9558
171,2.9586
172,2.9441
173,2.9389
174,2.9286
175,2.9344
176,2.9552
177,2.9678
178,2.974
179,2.9741
180,2.9739
181,2.9468
182,2.9474
183,2.9846
184,2.9709
185,2.9764
186,2.9959
187,3.0004
188,3.0036
189,3.0293
190,3.0537
191,3.0506
192,3.0505
193,3.0585
194,3.0808
195,3.0805
196,3.0967
197,3.0866
198,3.0957
199,3.0928
200,3.0785
201,3.0675
202,3.0736
203,3.0724
204,3.0779
205,3.0776
206,3.0998
207,3.0998
208,3.1024
209,3.0981
210,3.1117
211,3.1125
212,3.1348
213,3.1532
214,3.1736
215,3.1865
216,3.2048
217,3.2588
218,3.2787
219,3.2713
220,3.3055
221,3.3105
222,3.3835
223,3.3743
224,3.3584
225,3.3824
226,3.4047
227,3.4403
228,3.418
229,3.4199
230,3.4174
231,3.4483
232,3.5067
233,3.5344
234,3.5102
235,3.4307
236,3.3669
237,3.4524
238,3.5172
239,3.4721
240,3.4786
241,3.5157
242,3.494
243,3.4947
244,3.5116
245,3.51
246,3.5055
247,3.5077
248,3.5041
249,3.5135
250,3.5329
251,3.5318
